chr1:1718760-1718880	GNB1_Ex_11
chr1:190067318-190067438	BRINP3_Ex_8
chr1:190067438-190067558	BRINP3_Ex_8
chr1:190067558-190067678	BRINP3_Ex_8
chr1:190067678-190067798	BRINP3_Ex_8
chr1:190067798-190067918	BRINP3_Ex_8
chr1:190067918-190068038	BRINP3_Ex_8
chr1:190068038-190068158	BRINP3_Ex_8
chr1:190068158-190068278	BRINP3_Ex_8
chr1:190129788-190129908	BRINP3_Ex_7
chr1:190129908-190130028	BRINP3_Ex_7
chr1:190184165-190184284	chr1q31.1
chr1:190195182-190195302	BRINP3_Ex_6
chr1:190195302-190195422	BRINP3_Ex_6
chr1:190195422-190195542	BRINP3_Ex_6
chr1:190203492-190203612	BRINP3_Ex_5
chr1:190233975-190234095	BRINP3_Ex_4
chr1:190234095-190234215	BRINP3_Ex_4
chr1:190250650-190250770	BRINP3_Ex_3
chr1:190250770-190250890	BRINP3_Ex_3
chr1:190423705-190423825	BRINP3_Ex_2
chr1:190423825-190423945	BRINP3_Ex_2
chr1:190423945-190424065	BRINP3_Ex_2
chr1:190863018-190863137	chr1q31.2
chr1:191563098-191563217	chr1q31.2
chr1:192561486-192561605	chr1q31.2
chr1:193438716-193438835	chr1q31.2
chr1:194482245-194482364	chr1q31.3
chr1:195218092-195218211	chr1q31.3
chr1:196682287-196682406	chr1q31.3
chr1:198095574-198095693	chr1q31.3
chr1:199213299-199213418	chr1q32.1
chr1:200202172-200202291	chr1q32.1
chr1:201222923-201223042	chr1q32.1
chr1:202178076-202178195	chr1q32.1
chr1:202300903-202301023	UBE2T_Ex_7
chr1:202301023-202301143	UBE2T_Ex_7
chr1:202302118-202302238	UBE2T_Ex_6
chr1:202302345-202302465	UBE2T_Ex_5
chr1:202302568-202302688	UBE2T_Ex_4
chr1:202304077-202304197	UBE2T_Ex_3
chr1:202304764-202304884	UBE2T_Ex_2
chr1:203570748-203570867	chr1q32.1
chr1:204213553-204213672	chr1q32.1
chr1:204884777-204884896	chr1q32.1
chr1:206116882-206117001	chr1q32.1
chr1:206879063-206879182	chr1q32.1
chr1:207548567-207548686	chr1q32.2
chr1:208239117-208239236	chr1q32.2
chr1:209209106-209209225	chr1q32.2
chr1:209833288-209833407	chr1q32.2
chr1:210554928-210555047	chr1q32.2
chr1:211545285-211545404	chr1q32.3
chr1:212539283-212539402	chr1q32.3
chr1:213210242-213210361	chr1q32.3
chr1:214156106-214156225	chr1q32.3
chr1:215474847-215474966	chr1q41
chr1:216674257-216674376	chr1q41
chr1:217971921-217972040	chr1q41
chr1:218858675-218858794	chr1q41
chr1:219558398-219558517	chr1q41
chr1:220165103-220165222	chr1q41
chr1:221204004-221204123	chr1q41
chr1:221866259-221866378	chr1q41
chr1:222916090-222916209	chr1q41
chr1:223518087-223518206	chr1q41
chr1:224363311-224363430	chr1q42.12
chr1:225877650-225877769	chr1q42.12
chr1:226671958-226672077	chr1q42.12
chr1:228536498-228536617	chr1q42.13
chr1:229200908-229201027	chr1q42.13
chr1:229851352-229851471	chr1q42.13
chr1:230852057-230852176	chr1q42.2
chr1:231502107-231502227	EGLN1_Ex_5
chr1:231503265-231503385	EGLN1_Ex_4
chr1:231506238-231506358	EGLN1_Ex_3
chr1:231506358-231506478	EGLN1_Ex_3
chr1:231509706-231509826	EGLN1_Ex_2
chr1:231509826-231509946	EGLN1_Ex_2
chr1:231535821-231535940	chr1q42.2
chr1:231556734-231556854	EGLN1_Ex_1
chr1:231556854-231556974	EGLN1_Ex_1
chr1:231556974-231557094	EGLN1_Ex_1
chr1:231557094-231557214	EGLN1_Ex_1
chr1:231557214-231557334	EGLN1_Ex_1
chr1:231557334-231557454	EGLN1_Ex_1
chr1:231557454-231557574	EGLN1_Ex_1
chr1:231557574-231557694	EGLN1_Ex_1
chr1:232527899-232528018	chr1q42.2
chr1:233222764-233222883	chr1q42.2
chr1:234163992-234164111	chr1q42.2
chr1:234861809-234861928	chr1q42.3
chr1:235620967-235621086	chr1q42.3
chr1:236574208-236574327	chr1q43
chr1:237471022-237471141	chr1q43
chr1:238463792-238463911	chr1q43
chr1:239215798-239215917	chr1q43
chr1:240524521-240524640	chr1q43
chr1:241178885-241179004	chr1q43
chr1:241864657-241864776	chr1q43
chr1:242546314-242546433	chr1q43
chr1:243322553-243322672	chr1q43
chr1:244891613-244891732	chr1q44
chr1:245549903-245550022	chr1q44
chr1:247111003-247111122	chr1q44
chr1:248524203-248524322	chr1q44
chr10:255634-255753	chr10p15.3
chr10:1016542-1016661	chr10p15.3
chr10:1746893-1747012	chr10p15.3
chr10:2740859-2740978	chr10p15.3
chr10:4023170-4023289	chr10p15.1
chr10:5019900-5020019	chr10p15.1
chr10:5788051-5788170	chr10p15.1
chr10:6533818-6533937	chr10p14
chr10:7198995-7199114	chr10p14
chr10:8026550-8026669	chr10p14
chr10:8775834-8775953	chr10p14
chr10:10061724-10061843	chr10q24.2
chr10:11153187-11153306	chr10p14
chr10:11814387-11814506	chr10p14
chr10:12580530-12580649	chr10p13
chr10:13363577-13363696	chr10p13
chr10:14589827-14589946	chr10p13
chr10:15278225-15278344	chr10p13
chr10:15988843-15988962	chr10p13
chr10:17141332-17141451	chr10p13
chr10:17827940-17828059	chr10p12.33
chr10:18629544-18629663	chr10p12.32
chr10:19366391-19366510	chr10p12.31
chr10:20119610-20119729	chr10p12.31
chr10:21115273-21115392	chr10p12.31
chr10:21970018-21970137	chr10p12.31
chr10:23399494-23399613	chr10p12.2
chr10:24437941-24438060	chr10p12.2
chr10:25156583-25156702	chr10p12.1
chr10:25941632-25941751	chr10p12.1
chr10:26648542-26648661	chr10p12.1
chr10:27100265-27100385	ANKRD26_Ex_5'UTR
chr10:27100385-27100505	ANKRD26_Ex_5'UTR
chr10:27371652-27371772	ANKRD26_Ex_6
chr10:27375428-27375548	ANKRD26_Ex_5
chr10:27381325-27381445	ANKRD26_Ex_4
chr10:27382258-27382378	ANKRD26_Ex_3
chr10:27382378-27382498	ANKRD26_Ex_3
chr10:27382534-27382654	ANKRD26_Ex_2
chr10:27382654-27382774	ANKRD26_Ex_2
chr10:27388944-27389064	ANKRD26_Ex_1
chr10:27389064-27389184	ANKRD26_Ex_1
chr10:27389184-27389304	ANKRD26_Ex_1
chr10:27444269-27444388	chr10p12.1
chr10:28166438-28166557	chr10p12.1
chr10:29192956-29193075	chr10p12.1
chr10:30228532-30228651	chr10p11.23
chr10:31182849-31182968	chr10p11.23
chr10:31975004-31975123	chr10p11.22
chr10:32686484-32686603	chr10p11.22
chr10:33391797-33391916	chr10p11.22
chr10:34456920-34457039	chr10p11.21
chr10:35220534-35220653	chr10p11.21
chr10:36033152-36033271	chr10p11.21
chr10:36714705-36714824	chr10p11.21
chr10:37690184-37690303	chr10p11.21
chr10:38538712-38538831	chr10p11.1
chr10:43733547-43733666	chr10q11.21
chr10:44773897-44774016	chr10q11.21
chr10:45484249-45484368	chr10q11.21
chr10:46246241-46246360	chr10q11.22
chr10:47420555-47420674	chr10q11.22
chr10:48580315-48580434	chr10q11.22
chr10:49549195-49549314	chr10q11.22
chr10:50562729-50562848	chr10q11.23
chr10:51373970-51374089	chr10q11.23
chr10:52103648-52103767	chr10q11.23
chr10:52813479-52813598	chr10q11.23
chr10:53423442-53423562	SMC1A_Ex_17
chr10:53826623-53826742	chr10q11.21
chr10:54855560-54855679	chr10q11.21
chr10:55477136-55477255	chr10q11.21
chr10:56224538-56224657	chr10q11.21
chr10:56886724-56886843	chr10q11.21
chr10:57597563-57597682	chr10q11.21
chr10:58566008-58566127	chr10q11.21
chr10:59367135-59367254	chr10q11.21
chr10:60106776-60106895	chr10q11.21
chr10:61106745-61106864	chr10q11.21
chr10:61890878-61890997	chr10q21.2
chr10:62652804-62652923	chr10q21.2
chr10:63323294-63323413	chr10q21.2
chr10:64231680-64231799	chr10q21.2
chr10:64837519-64837638	chr10q21.3
chr10:65680425-65680544	chr10q21.3
chr10:66412860-66412979	chr10q21.3
chr10:67656421-67656540	chr10q21.3
chr10:68911035-68911154	chr10q21.3
chr10:69934199-69934318	chr10q21.3
chr10:70754101-70754220	chr10q22.1
chr10:72186465-72186584	chr10q22.1
chr10:72935203-72935322	chr10q22.1
chr10:73555867-73555986	chr10q22.1
chr10:74254932-74255051	chr10q22.1
chr10:76049532-76049651	chr10q22.2
chr10:77284315-77284434	chr10q22.2
chr10:77998496-77998615	chr10q22.3
chr10:79009965-79010084	chr10q22.3
chr10:79875150-79875269	chr10q22.3
chr10:80478581-80478700	chr10q22.3
chr10:81227897-81228016	chr10q22.3
chr10:82424068-82424187	chr10q23.1
chr10:83038206-83038325	chr10q23.1
chr10:83882702-83882821	chr10q23.1
chr10:84499275-84499394	chr10q23.1
chr10:85566595-85566714	chr10q23.1
chr10:86296562-86296681	chr10q23.1
chr10:87288891-87289010	chr10q23.1
chr10:87959752-87959871	chr10q23.2
chr10:88775685-88775804	chr10q23.2
chr10:89624207-89624327	PTEN_Ex_1
chr10:89653762-89653882	PTEN_Ex_2
chr10:89685260-89685380	PTEN_Ex_3
chr10:89690793-89690913	PTEN_Ex_4
chr10:89692740-89692860	PTEN_Ex_5
chr10:89692860-89692980	PTEN_Ex_5
chr10:89692980-89693100	PTEN_Ex_5
chr10:89711865-89711985	PTEN_Ex_6
chr10:89711985-89712105	PTEN_Ex_6
chr10:89717570-89717690	PTEN_Ex_7
chr10:89717690-89717810	PTEN_Ex_7
chr10:89720641-89720761	PTEN_Ex_8
chr10:89720761-89720881	PTEN_Ex_8
chr10:89724994-89725114	PTEN_Ex_9
chr10:89725114-89725234	PTEN_Ex_9
chr10:90044730-90044849	chr10q23.31
chr10:90784696-90784815	chr10q23.31
chr10:91798971-91799090	chr10q23.31
chr10:92593741-92593860	chr10q23.31
chr10:93491002-93491121	chr10q23.32
chr10:95216564-95216683	chr10q23.33
chr10:95892993-95893112	chr10q23.33
chr10:96632194-96632313	chr10q23.33
chr10:97317281-97317400	chr10q24.1
chr10:98381387-98381506	chr10q24.1
chr10:99585361-99585480	chr10q24.2
chr10:100352727-100352846	chr10q24.2
chr10:101689991-101690110	chr10q24.2
chr10:102368100-102368219	chr10q24.31
chr10:103071350-103071469	chr10q24.32
chr10:103922837-103922956	chr10q24.32
chr10:105388632-105388751	chr10q24.33
chr10:106179004-106179123	chr10q25.1
chr10:106835319-106835438	chr10q25.1
chr10:108901145-108901264	chr10q25.1
chr10:109599393-109599512	chr10q25.1
chr10:110406753-110406872	chr10q25.1
chr10:111241121-111241240	chr10q25.1
chr10:112338366-112338486	SMC3_Ex_7
chr10:112340552-112340672	SMC3_Ex_8
chr10:112340672-112340792	SMC3_Ex_8
chr10:112342310-112342430	SMC3_Ex_10
chr10:112343931-112344051	SMC3_Ex_13
chr10:112344051-112344171	SMC3_Ex_13
chr10:112350689-112350809	SMC3_Ex_17
chr10:112350809-112350929	SMC3_Ex_17
chr10:112356116-112356236	SMC3_Ex_19
chr10:112356236-112356356	SMC3_Ex_19
chr10:112359392-112359512	SMC3_Ex_21
chr10:112359512-112359632	SMC3_Ex_21
chr10:112360770-112360890	SMC3_Ex_23
chr10:112361714-112361834	SMC3_Ex_25
chr10:112361834-112361954	SMC3_Ex_25
chr10:112362932-112363052	SMC3_Ex_28
chr10:112963093-112963212	chr10q25.2
chr10:113686286-113686405	chr10q25.2
chr10:114711924-114712043	chr10q25.2
chr10:115423316-115423435	chr10q25.3
chr10:116209911-116210030	chr10q25.3
chr10:117711064-117711183	chr10q25.3
chr10:118560418-118560537	chr10q25.3
chr10:119473517-119473636	chr10q26.11
chr10:120216871-120216990	chr10q26.11
chr10:120977704-120977823	chr10q26.11
chr10:121736711-121736830	chr10q26.12
chr10:122494614-122494733	chr10q26.12
chr10:123326587-123326706	chr10q26.13
chr10:124006317-124006436	chr10q26.13
chr10:124714488-124714607	chr10q26.13
chr10:125492406-125492525	chr10q26.13
chr10:126262966-126263085	chr10q26.13
chr10:127114549-127114668	chr10q26.13
chr10:128027242-128027361	chr10q26.2
chr10:128779899-128780018	chr10q26.2
chr10:129486174-129486293	chr10q26.2
chr10:130288587-130288706	chr10q26.2
chr10:131055299-131055418	chr10q26.3
chr10:131826047-131826166	chr10q26.3
chr10:133291335-133291454	chr10q26.3
chr10:134326019-134326138	chr10q26.3
chr10:135040224-135040343	chr10q26.3
chr11:493026-493145	chr11p15.5
chr11:532586-532706	HRAS_Ex_5
chr11:532706-532826	HRAS_Ex_5
chr11:533443-533563	HRAS_Ex_4
chr11:533563-533683	HRAS_Ex_4
chr11:533756-533876	HRAS_Ex_3
chr11:533876-533996	HRAS_Ex_3
chr11:534202-534322	HRAS_Ex_2
chr11:1663891-1664010	chr11p15.5
chr11:2495456-2495575	chr11p15.5
chr11:3663142-3663261	chr11p15.4
chr11:4431113-4431232	chr11p15.4
chr11:5269524-5269643	chr11p15.4
chr11:6653173-6653292	chr11p15.4
chr11:7528271-7528390	chr11p15.4
chr11:8639266-8639385	chr11p15.4
chr11:9309346-9309465	chr11p15.4
chr11:10016763-10016882	chr11p15.4
chr11:11130042-11130161	chr11p15.3
chr11:11731945-11732064	chr11p15.3
chr11:12537851-12537970	chr11p15.3
chr11:13367691-13367810	chr11p15.2
chr11:14213170-14213289	chr11p15.2
chr11:14975445-14975564	chr11p15.2
chr11:16434634-16434753	chr11p15.1
chr11:17390796-17390915	chr11p15.1
chr11:18629245-18629364	chr11p15.1
chr11:19250105-19250224	chr11p15.1
chr11:20062645-20062764	chr11p15.1
chr11:21736364-21736483	chr11p14.3
chr11:22562914-22563033	chr11p14.3
chr11:23426976-23427095	chr11p14.3
chr11:24173751-24173870	chr11p14.3
chr11:24914245-24914364	chr11p14.3
chr11:26219210-26219329	chr11p14.2
chr11:27635260-27635379	chr11p14.1
chr11:28698196-28698315	chr11p14.1
chr11:30047453-30047572	chr11p14.1
chr11:31132198-31132317	chr11p13
chr11:32378247-32378366	chr11p13
chr11:32410564-32410684	WT1_Ex_10
chr11:32410684-32410804	WT1_Ex_10
chr11:32413508-32413628	WT1_Ex_9
chr11:32414202-32414322	WT1_Ex_8
chr11:32417773-32417893	WT1_Ex_7
chr11:32417893-32418013	WT1_Ex_7
chr11:32421474-32421594	WT1_Ex_6
chr11:32438026-32438146	WT1_Ex_5
chr11:32439083-32439203	WT1_Ex_4
chr11:32449492-32449612	WT1_Ex_3
chr11:32450013-32450133	WT1_Ex_2
chr11:32450133-32450253	WT1_Ex_2
chr11:32456216-32456336	WT1_Ex_1
chr11:32456336-32456456	WT1_Ex_1
